Id,IdMerchant,TransactionTime,CumsumAmount,CumsumTotal,Uniusers
109354,ALMACENES LA 14,7,0,0,0
101575,JUMBO,6,0,0,0
118441,METRO,7,0,0,0
117033,JUMBO,7,0,0,0
40700,MAKRO,2,0,0,0
39743,JUMBO,2,0,0,0
41151,METRO,2,0,0,0
55201,JUMBO,3,0,0,0
56158,MAKRO,3,0,0,0
56609,METRO,3,0,0,0
32064,ALMACENES LA 14,2,0,0,0
37810,EXITO,2,0,0,0
2906,CARULLA,0,0,0,0
1148,ALMACENES LA 14,0,0,0,0
6894,EXITO,0,0,0,0
8827,JUMBO,0,0,0,0
10235,METRO,0,0,0,0
9784,MAKRO,0,0,0,0
22352,EXITO,1,0,0,0
16606,ALMACENES LA 14,1,0,0,0
25693,METRO,1,0,0,0
24285,JUMBO,1,0,0,0
25242,MAKRO,1,0,0,0
87525,METRO,5,0,0,0
87074,MAKRO,5,0,0,0
68726,EXITO,4,0,0,0
70659,JUMBO,4,0,0,0
86117,JUMBO,5,0,0,0
102532,MAKRO,6,0,0,0
84184,EXITO,5,0,0,0
102983,METRO,6,0,0,0
78438,ALMACENES LA 14,5,0,0,0
72067,METRO,4,0,0,0
47522,ALMACENES LA 14,3,0,0,0
93896,ALMACENES LA 14,6,0,0,0
53268,EXITO,3,0,0,0
62980,ALMACENES LA 14,4,0,0,0
71616,MAKRO,4,0,0,0
377329,MAKRO,7,13900,1,1
99642,EXITO,6,19100,1,1
115100,EXITO,7,19100,1,1
391621,CARULLA,1,157920,3,3
412713,METRO,8,205740,1,1
149357,METRO,9,205740,1,1
72902,OLIMPICA,4,210700,4,4
422489,OLIMPICA,0,210700,4,4
26528,OLIMPICA,1,210700,4,4
88360,OLIMPICA,5,210700,4,4
57444,OLIMPICA,3,210700,4,4
41986,OLIMPICA,2,210700,4,4
64738,CARULLA,4,230560,4,4
384032,CARULLA,2,230560,4,4
49280,CARULLA,3,230560,4,4
401135,CARULLA,5,258260,5,5
393984,ALMACENES LA 14,8,297459,4,4
95654,CARULLA,6,345486,7,7
396574,OLIMPICA,6,400716,5,5
425265,CARULLA,7,432456,10,9
133448,MAKRO,8,1090467,5,5
126570,CARULLA,8,1249362,22,20
109089,ALKOSTO,7,1428000,1,1
78173,ALKOSTO,5,1428000,1,1
16341,ALKOSTO,1,1428000,1,1
62715,ALKOSTO,4,1428000,1,1
47257,ALKOSTO,3,1428000,1,1
883,ALKOSTO,0,1428000,1,1
31799,ALKOSTO,2,1428000,1,1
93631,ALKOSTO,6,1428000,1,1
415797,METRO,10,1526487,10,9
140270,ALMACENES LA 14,9,1724191,15,14
130558,EXITO,8,1746253,20,19
413704,OLIMPICA,7,1851263,22,20
394436,JUMBO,8,2420736,6,6
401300,METRO,11,2506350,21,19
399703,ALKOSTO,8,2640249,5,5
142028,CARULLA,9,2794398,37,35
395050,MAKRO,9,2796234,10,10
195731,METRO,12,3112873,27,25
416279,ALMACENES LA 14,10,3725924,39,36
164364,MAKRO,10,4318815,15,15
372142,JUMBO,9,4763036,17,17
394813,OLIMPICA,8,4957204,57,55
157486,CARULLA,10,5416149,60,55
381139,METRO,13,5571845,40,37
140005,ALKOSTO,9,6693296,15,15
171186,ALMACENES LA 14,11,6735850,71,67
425834,EXITO,9,7190938,68,65
384950,METRO,14,7207979,54,51
375316,MAKRO,11,8076598,29,29
405898,CARULLA,11,8366495,83,76
412899,METRO,15,9468544,69,66
163407,JUMBO,10,9655860,62,61
425119,ALMACENES LA 14,12,10175625,106,101
425885,METRO,16,10250814,78,74
155463,ALKOSTO,10,12228007,29,28
195280,MAKRO,12,12549916,39,39
273021,METRO,17,13409244,95,91
421618,CARULLA,12,13568992,128,121
380928,ALMACENES LA 14,13,13932488,135,128
150192,OLIMPICA,9,14806389,116,110
210738,MAKRO,13,16315159,55,55
393298,METRO,18,17079588,111,107
408980,ALMACENES LA 14,14,17282606,165,156
203860,CARULLA,13,17548527,160,153
226196,MAKRO,14,18815164,68,68
414320,ALMACENES LA 14,15,19009032,183,172
178865,JUMBO,11,19836955,117,115
417948,METRO,19,20068747,129,125
384993,CARULLA,14,20623792,195,187
161474,EXITO,10,21122296,148,141
384719,METRO,20,21289568,141,137
350311,METRO,22,21562177,145,141
334853,METRO,21,21562177,145,141
365769,METRO,23,21562177,145,142
165650,OLIMPICA,10,22183457,194,186
389719,ALMACENES LA 14,16,22430380,210,196
418641,MAKRO,15,22520234,79,78
423130,CARULLA,15,23296765,231,222
391497,MAKRO,16,25920584,90,88
401167,ALKOSTO,11,26488687,58,57
393860,CARULLA,16,26890100,253,243
385259,ALMACENES LA 14,17,27155488,249,233
420869,MAKRO,17,28218409,101,99
194323,JUMBO,12,29164283,170,165
386139,CARULLA,17,30937622,294,283
423251,ALMACENES LA 14,18,31548308,275,258
405485,OLIMPICA,11,31665816,283,271
389758,MAKRO,18,32023726,113,111
413210,ALMACENES LA 14,19,34481067,304,285
411403,MAKRO,19,34524924,126,124
384806,CARULLA,18,34530701,335,323
390276,MAKRO,20,35879375,136,134
334402,MAKRO,21,35879375,136,134
365318,MAKRO,23,35879375,136,135
349860,MAKRO,22,35879375,136,134
411330,CARULLA,19,37193727,371,359
385533,ALMACENES LA 14,20,37423978,332,313
176932,EXITO,11,37906559,253,240
412513,JUMBO,13,38029815,212,204
341224,ALMACENES LA 14,22,38913224,347,328
325766,ALMACENES LA 14,21,38913224,347,328
356682,ALMACENES LA 14,23,38913224,347,329
387727,CARULLA,20,40678010,396,384
372348,CARULLA,21,42135583,411,399
399853,CARULLA,22,42828554,422,410
358440,CARULLA,23,42838554,423,412
196566,OLIMPICA,12,43278455,380,362
424296,ALKOSTO,12,44868290,95,93
411114,JUMBO,14,49920642,268,257
212024,OLIMPICA,13,55911103,459,438
412318,ALKOSTO,13,56422003,118,115
414803,JUMBO,15,61550139,337,325
227482,OLIMPICA,14,64019326,533,505
425108,EXITO,12,66390026,402,381
425934,JUMBO,16,68946017,389,377
414711,OLIMPICA,15,74163907,597,567
410338,ALKOSTO,14,76472157,156,153
377619,JUMBO,17,79174809,458,444
425952,OLIMPICA,16,83822479,671,638
207848,EXITO,13,85607837,537,513
391341,JUMBO,18,93043744,531,515
412950,ALKOSTO,15,93084828,188,184
273856,OLIMPICA,17,97049507,781,745
410999,EXITO,14,100888035,655,628
413231,JUMBO,19,105068396,594,577
390497,ALKOSTO,16,113102255,228,222
391928,OLIMPICA,18,113113318,889,850
388954,JUMBO,20,115209083,660,642
414275,EXITO,15,120807255,804,768
371707,JUMBO,21,121227199,693,675
364361,JUMBO,23,121520686,695,678
348903,JUMBO,22,121520686,695,677
413249,OLIMPICA,19,129836847,992,953
263669,ALKOSTO,17,138290329,275,268
388369,OLIMPICA,20,140246002,1077,1036
393795,EXITO,16,143525936,945,906
379308,OLIMPICA,21,145692832,1115,1074
419671,OLIMPICA,22,146274927,1120,1079
392591,OLIMPICA,23,146383930,1122,1082
392002,ALKOSTO,18,153273964,304,297
269680,EXITO,17,164039413,1080,1038
413655,ALKOSTO,19,176214817,339,332
385201,ALKOSTO,20,190959822,365,358
423153,EXITO,18,193144529,1249,1205
340959,ALKOSTO,22,197890081,376,369
372188,ALKOSTO,21,197890081,376,369
417153,ALKOSTO,23,198310006,377,370
413297,EXITO,19,218607464,1412,1367
390211,EXITO,20,232325238,1527,1482
371673,EXITO,21,238949152,1568,1523
401324,EXITO,22,239601875,1573,1528
395290,EXITO,23,240179545,1575,1530
